pair,depth_m,depth_cm,common_width_m,common_coverage_fraction,of_original_common_width_m,matched_width_m,matched_coverage_fraction,of_matched_integral_m2_per_s,piv_matched_integral_m2_per_s,of_matched_mean_u_m_per_s,piv_matched_mean_u_m_per_s,matched_integral_difference_of_minus_piv_m2_per_s,matched_mean_absolute_difference_m_per_s,matched_rms_difference_m_per_s,matched_supported_component_count,matched_longest_gap_m,of_common_integral_m2_per_s,piv_common_integral_m2_per_s,of_common_mean_u_m_per_s,piv_common_mean_u_m_per_s,common_available_at_depth,of_original_covered_integral_m2_per_s,of_original_coverage_fraction,of_original_common_integral_m2_per_s,piv_on_of_original_common_integral_m2_per_s,piv_on_of_original_common_available,piv_fraction_of_of_original_common_width,piv_own_integral_m2_per_s,piv_own_coverage_fraction,piv_own_mean_u_m_per_s,of_finite_dcor_matched_integral_m2_per_s,piv_finite_dcor_matched_integral_m2_per_s,finite_dcor_matched_coverage_fraction
80,0.0023,0.22999999999999998,0.0,0.0,0.06362412269623888,0.04000522102037045,0.34570312499999994,0.0014272310021071466,0.0014284044772125057,0.03567611840915485,0.03570545145807767,-1.1734751053590637e-06,0.0016772112482349151,0.0024403853017998787,68,0.005424436748524813,nan,nan,nan,nan,False,0.003986924145997899,0.9638671874999998,0.0023084616476123122,nan,False,0.36056838365896987,0.0014811840334082802,0.357421875,0.035810841333619385,0.0007465663084551561,0.0007468206647278202,0.1806640625
80,0.0024000000000000002,0.24000000000000002,0.0,0.0,0.06362412269623888,0.03921415732787725,0.33886718749999994,0.0013403459913951447,0.0013507844818625675,0.03418015540123046,0.034446347286476,-1.0438490467422736e-05,0.0017341192406679364,0.0025652846148602297,67,0.003503282066755607,nan,nan,nan,nan,False,0.0038475038339042624,0.9716796874999998,0.002211003193909706,nan,False,0.33392539964476026,0.0013730780319152335,0.3447265625,0.03441970163547579,0.0007839007093727722,0.0007922367498574565,0.197265625
80,0.0025,0.25,0.0,0.0,0.06362412269623888,0.037519020843963254,0.32421875,0.001225783530667428,0.0012277116848848364,0.0326709893567133,0.032722380735646865,-1.928154217408374e-06,0.0017391180357056175,0.002829241083547827,68,0.002825227473190005,nan,nan,nan,nan,False,0.003724414050916656,0.9804687499999998,0.0021194805093589938,nan,False,0.30550621669627004,0.0012424072656321255,0.32812499999999994,0.03271984916801341,0.0008903823261793043,0.00090338946366012,0.2353515625
80,0.0026000000000000003,0.26,0.0,0.0,0.06362412269623888,0.03367671148042485,0.291015625,0.0010651531851703622,0.001078484020079821,0.0316287766336538,0.032024623921688665,-1.3330834909458826e-05,0.0015550417974720858,0.0023093929313604835,73,0.002825227473190005,nan,nan,nan,nan,False,0.003559286958395279,0.9775390624999998,0.002033651193171208,nan,False,0.30728241563055064,0.001100809736901845,0.296875,0.0320424168958395,0.0008361618413666249,0.0008526147396186525,0.22851562499999997
80,0.0027,0.27,0.0,0.0,0.06362412269623888,0.031981574996510845,0.2763671875,0.0009713833910334716,0.000982922535037765,0.030373219303284734,0.03073402529878534,-1.153914400429338e-05,0.0016299067726128413,0.0024309622074954705,75,0.0053114276495972125,nan,nan,nan,nan,False,0.0034183904581406963,0.9765624999999998,0.001953186213944587,nan,False,0.2841918294849024,0.001002522244792472,0.28124999999999994,0.030802652615349452,0.0007014530052636221,0.000715086548162465,0.20019531249999997
80,0.0028,0.27999999999999997,0.0,0.0,0.06362412269623888,0.034693793370773246,0.29980468749999994,0.00101314508917479,0.001014774073728231,0.029202488132309103,0.029249441330422437,-1.628984553440991e-06,0.0014873610218113591,0.002096449847519243,79,0.0053114276495972125,nan,nan,nan,nan,False,0.003298951275883752,0.9785156249999998,0.0018769483915420265,nan,False,0.2984014209591475,0.0010220567617269694,0.30175781249999994,0.02926867917709995,0.000720387137645401,0.0007189812116866187,0.21191406250000003
80,0.0029000000000000002,0.29000000000000004,0.0,0.0,0.06362412269623888,0.03525883886541125,0.3046875,0.0009910395731723052,0.0009910758364536994,0.02810754990983297,0.028108578397513254,-3.626328139421514e-08,0.001685990689942334,0.0025200706072679687,78,0.0032772638689004064,nan,nan,nan,nan,False,0.0031769571284145227,0.9785156249999998,0.0018032956828737388,nan,False,0.31616341030195394,0.0009980628938527965,0.30664062500000006,0.02812644537565238,0.0007089070917660381,0.0007059699310759983,0.216796875
80,0.003,0.3,0.0,0.0,0.06362412269623888,0.033224675084714446,0.287109375,0.0009014501066383477,0.0009016182956094052,0.027131946492776223,0.027137008663305467,-1.681889710574867e-07,0.0017775044520417053,0.0026947871170455214,68,0.00440735485817641,nan,nan,nan,nan,False,0.0030636757211242073,0.9804687499999998,0.0017306916296621195,nan,False,0.28241563055062174,0.0009199195025255897,0.29296874999999994,0.027134083634420176,0.0005992500782981192,0.0005976778627404862,0.18945312499999997
80,0.0031000000000000003,0.31000000000000005,0.0,0.0,0.06362412269623888,0.032207593194366044,0.2783203125,0.0008393884517299592,0.0008321229972622953,0.026061818611046984,0.025836236574419216,7.2654544676638115e-06,0.00206213030107865,0.0033733839698740554,69,0.00440735485817641,nan,nan,nan,nan,False,0.002949237654975727,0.9814453124999998,0.0016582515181480324,nan,False,0.28241563055062174,0.0008491289313882666,0.28417968749999994,0.02582065394800827,0.0005626097192597342,0.0005534633669745659,0.185546875
80,0.0032,0.32,0.0,0.0,0.06362412269623888,0.027800238336189637,0.24023437499999997,0.0007019364040245957,0.000692669978966629,0.02524929446776839,0.024915972683044556,9.26642505796665e-06,0.002173549537845672,0.0038881539795184907,76,0.003503282066755607,nan,nan,nan,nan,False,0.002823894474264403,0.9785156249999998,0.0015863766643239507,nan,False,0.27531083481349916,0.0007156414513753166,0.24804687499999997,0.024931497160611077,0.0005059537667941206,0.0005049156828394305,0.17382812500000003
