depth_mm,pair_80_optical_flow_mean_cm_per_s,pair_80_piv_mean_cm_per_s,pair_80_matched_coverage_percent,pair_100_optical_flow_mean_cm_per_s,pair_100_piv_mean_cm_per_s,pair_100_matched_coverage_percent
8.500000000000000000e+00,2.626830856542845538e-01,2.704002122450777645e-01,4.296874999999999289e+01,3.814074973733292406e-01,3.734894529366939997e-01,4.648437499999998579e+01
8.599999999999999645e+00,2.532165234407576793e-01,2.640595483301516055e-01,4.384765624999999289e+01,3.535877805642199667e-01,3.439978324322259806e-01,4.912109374999999289e+01
8.700000000000001066e+00,2.449449500782462097e-01,2.562908195714490578e-01,4.365234374999999289e+01,3.402421563297587381e-01,3.323851714658406231e-01,4.707031249999999289e+01
8.800000000000000711e+00,2.394010522727855472e-01,2.453140241992974313e-01,4.248046875000000711e+01,3.212254993248864765e-01,3.072071693002063619e-01,4.433593749999999289e+01
8.900000000000000355e+00,2.373403522630455897e-01,2.488292725106428793e-01,3.681640624999999289e+01,3.016981692921832936e-01,2.854579705372344844e-01,4.052734375000000000e+01
9.000000000000001776e+00,2.278898917738022556e-01,2.478059336075228436e-01,3.798828124999999289e+01,2.855047913917099778e-01,2.809783395482888246e-01,3.886718750000000000e+01
9.099999999999999645e+00,2.180164284181531353e-01,2.356808415165456416e-01,3.681640624999999289e+01,2.703423814289429017e-01,2.746324419578685117e-01,3.779296874999999289e+01
9.199999999999999289e+00,2.079100146862777054e-01,2.204093682578062152e-01,3.554687500000000000e+01,2.532313164741991085e-01,2.714921065422901680e-01,3.740234375000000000e+01
9.300000000000000711e+00,1.980200437248699485e-01,2.078569811244649346e-01,4.501953125000000000e+01,2.402697547991046179e-01,2.626485845191348645e-01,3.828125000000000000e+01
9.400000000000000355e+00,1.917318183777341201e-01,2.028748718097363180e-01,4.433593749999999289e+01,2.378382523317006669e-01,2.573532322649920157e-01,4.121093750000000000e+01
9.500000000000000000e+00,1.981190255945330381e-01,2.086373967011852515e-01,4.365234374999999289e+01,2.349703504930392428e-01,2.527120216020905530e-01,4.267578125000000711e+01
9.600000000000001421e+00,1.954166736365550439e-01,2.050346276938664059e-01,4.228515624999999289e+01,2.241003115590486094e-01,2.376565923843890482e-01,4.160156250000000000e+01
9.700000000000001066e+00,1.924170960411551168e-01,1.971654922954936551e-01,4.082031250000000000e+01,2.101129953710904608e-01,2.196943882702697970e-01,4.179687499999999289e+01
9.799999999999998934e+00,1.930482022116288277e-01,1.916035311564440458e-01,4.326171875000000000e+01,2.062229344568113354e-01,2.099049134096759306e-01,4.541015625000000000e+01
9.900000000000000355e+00,1.910040471748974955e-01,1.830776283315732611e-01,4.365234374999999289e+01,1.933322319421447444e-01,1.927490401579304291e-01,4.501953125000000000e+01
1.000000000000000000e+01,1.850534063560077269e-01,1.793133286167988005e-01,3.906250000000000000e+01,1.838403764651463934e-01,1.924711091788099682e-01,4.560546874999999289e+01
